구별,동,인구수_계,인구수_남,인구수_여,19세 이상_계,19세 이상_남,19세 이상_여,65세 이상_계,65세 이상_남자,65세 이상_여자,세대수,재외국민,데이터기준일자,생활인구_추정,총점포수,점포당_생활인구,입점여력지수
수정구,신흥1동,12046,6439,5607,11317,6058,5259,3125,1367,1758,7440,19,2025-12-31,12648.300000000001,3,4216.1,10.5
수정구,신흥2동,31635,15368,16267,26653,12856,13797,5206,2398,2808,12313,47,2025-12-31,33216.75,9,3690.75,24.2
수정구,신흥3동,10670,5735,4935,9986,5387,4599,2584,1208,1376,6452,9,2025-12-31,11203.5,3,3734.5,8.3
수정구,태평1동,13522,7005,6517,12793,6648,6145,3577,1581,1996,8221,22,2025-12-31,14198.1,4,3549.525,9.9
수정구,태평2동,13628,6872,6756,12572,6354,6218,3356,1433,1923,7529,17,2025-12-31,14309.400000000001,4,3577.3500000000004,10.1
수정구,태평3동,11585,5951,5634,10675,5498,5177,3026,1360,1666,6314,15,2025-12-31,12164.25,3,4054.75,9.7
수정구,태평4동,10906,5616,5290,9933,5110,4823,2637,1168,1469,5916,16,2025-12-31,11451.300000000001,3,3817.1000000000004,8.6
수정구,수진1동,10775,5742,5033,10202,5450,4752,3179,1428,1751,6682,12,2025-12-31,11313.75,3,3771.25,8.4
수정구,수진2동,14334,7215,7119,13217,6642,6575,3967,1804,2163,7468,32,2025-12-31,15050.7,4,3762.675,11.2
수정구,단대동,14162,6962,7200,12589,6125,6464,3297,1425,1872,6503,26,2025-12-31,14870.1,4,3717.525,10.9
수정구,산성동,4421,2212,2209,3953,1960,1993,1125,473,652,2091,22,2025-12-31,4642.05,1,4642.05,4.3
수정구,양지동,8923,4380,4543,8062,3939,4123,2190,953,1237,4259,10,2025-12-31,9369.15,2,4684.575,8.7
수정구,복정동,10453,5856,4597,9696,5471,4225,1365,646,719,6734,17,2025-12-31,10975.65,3,3658.5499999999997,7.9
수정구,위례동,45473,22014,23459,36854,17681,19173,7231,3345,3886,18782,123,2025-12-31,47746.65,13,3672.8192307692307,34.6
수정구,신촌동,4511,2392,2119,3718,1977,1741,609,286,323,2014,14,2025-12-31,4736.55,1,4736.55,4.4
수정구,고등동,11797,5772,6025,9961,4856,5105,1819,830,989,5320,36,2025-12-31,12386.85,3,4128.95,10.1
수정구,시흥동,3548,1918,1630,3305,1798,1507,731,355,376,2162,22,2025-12-31,3725.4,1,3725.4,2.7
중원구,성남동,31835,16612,15223,29474,15430,14044,7181,3305,3876,18409,51,2025-12-31,33426.75,9,3714.0833333333335,24.5
중원구,중앙동,16585,8415,8170,14237,7210,7027,3240,1467,1773,7518,17,2025-12-31,17414.25,5,3482.85,12.0
중원구,금광1동,19608,9624,9984,16342,7993,8349,2906,1320,1586,8241,16,2025-12-31,20588.4,5,4117.68,16.7
중원구,금광2동,23438,11596,11842,21184,10461,10723,5339,2392,2947,11871,39,2025-12-31,24609.9,6,4101.650000000001,19.9
중원구,은행1동,9289,4576,4713,8299,4057,4242,1917,841,1076,4415,8,2025-12-31,9753.45,3,3251.15,6.3
중원구,은행2동,20978,10303,10675,19235,9419,9816,5268,2272,2996,10704,49,2025-12-31,22026.9,6,3671.15,16.0
중원구,상대원1동,22454,11691,10763,20279,10577,9702,5296,2405,2891,11545,21,2025-12-31,23576.7,6,3929.4500000000003,18.3
중원구,상대원2동,2911,1506,1405,2644,1357,1287,736,355,381,1523,8,2025-12-31,3056.55,1,3056.55,1.8
중원구,상대원3동,11054,5822,5232,10190,5389,4801,2983,1434,1549,6275,14,2025-12-31,11606.7,3,3868.9,8.9
중원구,하대원동,19542,9769,9773,17255,8599,8656,4365,2065,2300,8334,33,2025-12-31,20519.100000000002,5,4103.820000000001,16.6
중원구,도촌동,25878,12510,13368,21663,10301,11362,4731,2091,2640,10832,60,2025-12-31,27171.9,7,3881.7000000000003,20.8
분당구,분당동,24396,11993,12403,20591,10025,10566,4345,1989,2356,10044,91,2025-12-31,25615.8,7,3659.4,18.5
분당구,수내1동,17879,8526,9353,14738,6898,7840,2609,1066,1543,7886,119,2025-12-31,18772.95,5,3754.59,13.9
분당구,수내2동,10381,5099,5282,7611,3704,3907,1259,575,684,3194,41,2025-12-31,10900.050000000001,3,3633.3500000000004,7.8
분당구,수내3동,13191,6536,6655,10411,5144,5267,1566,709,857,5108,29,2025-12-31,13850.550000000001,4,3462.6375000000003,9.5
분당구,정자동,13750,6979,6771,11808,5999,5809,2368,1125,1243,6232,57,2025-12-31,14437.5,4,3609.375,10.3
분당구,정자1동,30247,14353,15894,25573,12010,13563,4346,2009,2337,14055,275,2025-12-31,31759.350000000002,8,3969.9187500000003,24.9
분당구,정자2동,14183,6735,7448,12488,5850,6638,2862,1131,1731,7245,59,2025-12-31,14892.150000000001,4,3723.0375000000004,10.9
분당구,정자3동,16467,7923,8544,13624,6513,7111,2539,1094,1445,6605,78,2025-12-31,17290.350000000002,5,3458.0700000000006,11.8
분당구,서현1동,30649,14870,15779,25301,12138,13163,4523,2068,2455,12678,176,2025-12-31,32181.45,8,4022.68125,25.6
분당구,서현2동,17273,8505,8768,14429,7009,7420,2805,1300,1505,6553,63,2025-12-31,18136.65,5,3627.3300000000004,13.0
분당구,이매1동,24537,11967,12570,20243,9727,10516,4000,1849,2151,9022,91,2025-12-31,25763.850000000002,7,3680.55,18.7
분당구,이매2동,12796,6270,6526,10505,5074,5431,2455,1204,1251,4370,48,2025-12-31,13435.800000000001,4,3358.9500000000003,8.9
분당구,야탑1동,16525,8144,8381,14489,7103,7386,3440,1597,1843,7545,60,2025-12-31,17351.25,5,3470.25,11.9
분당구,야탑2동,15564,7394,8170,13108,6161,6947,3521,1620,1901,5987,80,2025-12-31,16342.2,4,4085.55,13.2
분당구,야탑3동,26618,13105,13513,23469,11506,11963,5469,2398,3071,12711,60,2025-12-31,27948.9,7,3992.7000000000003,22.0
분당구,금곡동,26767,12591,14176,23383,10846,12537,3093,1496,1597,11997,162,2025-12-31,28105.350000000002,7,4015.05,22.3
분당구,구미동,27981,13227,14754,24547,11502,13045,3195,1452,1743,12636,159,2025-12-31,29380.050000000003,8,3672.5062500000004,21.3
분당구,구미1동,16089,7762,8327,13883,6640,7243,4186,1867,2319,6937,78,2025-12-31,16893.45,4,4223.3625,14.1
분당구,판교동,26365,12915,13450,20292,9787,10505,5765,2511,3254,8979,108,2025-12-31,34274.5,9,3808.277777777778,25.8
분당구,삼평동,23593,11449,12144,19086,9163,9923,2818,1287,1531,9106,52,2025-12-31,106168.5,32,3317.765625,69.5
분당구,백현동,26316,12538,13778,22008,10301,11707,6102,2685,3417,10535,106,2025-12-31,84211.20000000001,14,6015.085714285715,100.0
분당구,운중동,38266,18626,19640,30363,14608,15755,4535,2177,2358,13960,172,2025-12-31,47832.5,13,3679.423076923077,34.7
